"player","elo","set_wins","total_sets","set_perc","game_wins","total_games","game_perc","tournaments","list_tournaments","old_elo","var_elo"
"Blaze",1487.21990691865,0,2,0,1,5,0.2,1,"Koopa Armada",1487.21990691865,0
"KD",1487.14851996212,0,2,0,1,5,0.2,1,"Koopa Armada",1487.14851996212,0
"Arthunnis",1487.0483318457,0,2,0,1,5,0.2,1,"Smash n' Magic - 4th Edition",1487.0483318457,0
"Artch",1486.94613508287,0,2,0,1,5,0.2,1,"Koopa Armada",1486.94613508287,0
"PokaTranca",1486.86128550111,0,2,0,1,5,0.2,1,"Koopa Armada",1486.86128550111,0
"Frostfire",1486.48308713169,0,2,0,1,5,0.2,1,"Koopa Armada",1486.48308713169,0
"Vlory",1486.45015688928,0,2,0,1,5,0.2,1,"Smash N' Magic",1486.45015688928,0
"Lucky Luciano",1486.3983942983,0,2,0,1,5,0.2,1,"Fight in Rio for the Future",1486.3983942983,0
"Decnop",1486.3491644791,0,2,0,1,5,0.2,1,"Smash N' Magic",1486.3491644791,0
"Polon",1486.24054302565,5,11,0.454545454545455,11,25,0.44,3,"Smash N' Magic, Smash N' Magic - 2nd Edition, Battle Of Hyrule",1486.24054302565,0
"Ferrantini",1486.11378183154,0,2,0,1,5,0.2,1,"Fight in Rio for the Future",1486.11378183154,0
"Shiv",1486.02738412903,0,2,0,1,5,0.2,1,"Smash n' Magic - 4th Edition",1486.02738412903,0
"Taunt",1485.7474357418,0,2,0,1,5,0.2,1,"Smash N' Magic - 3rd Edition",1485.7474357418,0
"Morkez",1485.65289518817,6,16,0.375,16,37,0.432432432432432,5,"Smash N' Magic - 2nd Edition, Smash Season Fest: Falling Leaves, Smash N' Magic - 3rd Edition, Battle Of Hyrule, Try Hard Smash in Rio #1",1485.65289518817,0
"LCS",1485.06078274681,3,8,0.375,8,20,0.4,3,"Smash N' Magic - 3rd Edition, Battle Of Hyrule, Smash n' Magic - 4th Edition",1485.06078274681,0
"Professor",1485.03191531003,1,3,0.333333333333333,2,7,0.285714285714286,1,"Smash N' Magic - 3rd Edition",1485.03191531003,0
"diguetake",1484.71607306465,0,2,0,1,5,0.2,1,"Fight in Rio for the Future",1484.71607306465,0
"Jim",1484.67408902589,0,2,0,0,4,0,1,"Try Hard Smash in Rio #1",1484.67408902589,0
"Bbrazils",1484.6194357472,1,5,0.2,5,14,0.357142857142857,2,"Smash N' Magic, Smash N' Magic - 2nd Edition",1484.6194357472,0
"donotc0ntinue",1483.61832017436,1,3,0.333333333333333,2,7,0.285714285714286,1,"Koopa Armada",1483.61832017436,0
"IzZI127",1483.55497702161,3,7,0.428571428571429,6,15,0.4,2,"Smash N' Magic, Koopa Armada",1483.55497702161,0
"Thales",1483.24820010364,1,3,0.333333333333333,2,7,0.285714285714286,1,"Koopa Armada",1483.24820010364,0
"Naty",1483.15601914574,11,25,0.44,24,54,0.444444444444444,7,"Smash Season Fest: Smash Heat, Smash N' Magic, Smash N' Magic - 2nd Edition, Fight in Rio for the Future, Battle Of Hyrule, Smash n' Magic - 5th Edition, Smash n' Magic - 4th Edition",1483.15601914574,0
"Sandman",1483.05665615745,1,3,0.333333333333333,2,7,0.285714285714286,1,"Smash N' Magic",1483.05665615745,0
"Considera",1482.21515365036,5,15,0.333333333333333,13,33,0.393939393939394,5,"Smash N' Magic, Fight in Rio for the Future, Battle Of Hyrule, Twilight's Awakening, TwS - Forest Temple",1466.97313564819,15.2420180021716
"Swiss",1482.07112720358,0,2,0,0,4,0,1,"Fight in Rio for the Future",1482.07112720358,0
"Magonha",1481.97896481788,0,2,0,0,4,0,1,"TwS - Forest Temple",1500,-18.0210351821163
"Mini Vegeta",1481.68621360729,0,2,0,0,4,0,1,"Battle Of Hyrule",1481.68621360729,0
"Lorenzo",1481.3016749445,0,2,0,0,4,0,1,"Koopa Armada",1481.3016749445,0
"Samurai do Lamen",1481.08036758755,0,2,0,0,4,0,1,"Smash N' Magic - 3rd Edition",1481.08036758755,0
"Najjar",1481.07752672234,0,2,0,0,4,0,1,"Battle Of Hyrule",1481.07752672234,0
"Luma",1480.93853282328,2,6,0.333333333333333,4,12,0.333333333333333,2,"Koopa Armada, Smash Season Fest: Smash Heat",1480.93853282328,0
"Stiltzkin",1480.90903422171,0,2,0,0,4,0,1,"Fight in Rio for the Future",1480.90903422171,0
"Bayo",1480.79146378513,0,2,0,0,4,0,1,"Fight in Rio for the Future",1480.79146378513,0
"GodUsopp",1480.56408300641,0,2,0,0,4,0,1,"Koopa Armada",1480.56408300641,0
"Mr. Z",1480.47107437867,0,2,0,0,4,0,1,"Koopa Armada",1480.47107437867,0
"TROVS",1480.28774368332,0,2,0,0,4,0,1,"Koopa Armada",1480.28774368332,0
"Celly",1480.2794684162,0,2,0,0,4,0,1,"Koopa Armada",1480.2794684162,0
"Zombie Hunter",1480.2794684162,0,2,0,0,4,0,1,"Koopa Armada",1480.2794684162,0
"Mini Roc",1480.2794684162,0,2,0,0,4,0,1,"Koopa Armada",1480.2794684162,0
"Thurler",1480.23027808112,0,2,0,0,4,0,1,"Smash Season Fest: Smash Heat",1480.23027808112,0
"Math100",1480.2215250738,0,2,0,0,4,0,1,"Try Hard Smash in Rio #2",1480.2215250738,0
"Lily",1480.21615179001,0,2,0,0,4,0,1,"Smash N' Magic - 2nd Edition",1480.21615179001,0
"Patraozin",1480.20013729199,0,2,0,0,4,0,1,"Koopa Armada",1480.20013729199,0
"Talberon",1480.04792163229,0,2,0,0,4,0,1,"Smash N' Magic - 3rd Edition",1480.04792163229,0
"Caveira",1480.03046386038,0,2,0,0,4,0,1,"Smash N' Magic - 2nd Edition",1480.03046386038,0
"Linus",1480.00828192705,0,2,0,0,4,0,1,"Koopa Armada",1480.00828192705,0
"Calvao",1480.00276132047,0,2,0,0,4,0,1,"Koopa Armada",1480.00276132047,0
"Kanto",1480,0,2,0,0,4,0,1,"Koopa Armada",1480,0
"Gotelho",1480,0,2,0,0,4,0,1,"Koopa Armada",1480,0
"LA FLAMME",1479.54791662939,0,2,0,0,4,0,1,"Battle Of Hyrule",1479.54791662939,0
"ippo",1479.17348300154,0,2,0,0,4,0,1,"Smash N' Magic",1479.17348300154,0
"Pova",1479.07912133342,0,2,0,0,4,0,1,"Smash N' Magic - 2nd Edition",1479.07912133342,0
"Anal_utz",1478.9077569486,0,2,0,0,4,0,1,"Smash N' Magic - 2nd Edition",1478.9077569486,0
"Axe",1478.8443143827,0,2,0,0,4,0,1,"Smash n' Magic - 5th Edition",1478.8443143827,0
"FritzThe2",1478.83962359811,0,2,0,0,4,0,1,"Smash N' Magic",1478.83962359811,0
"kiNg",1478.82537521771,0,2,0,0,4,0,1,"Twilight's Awakening",1478.82537521771,0
"Thay",1478.52684306143,0,2,0,0,4,0,1,"Try Hard Smash in Rio #2",1478.52684306143,0
"BURRITO",1477.26844985958,0,2,0,0,4,0,1,"TwS - Forest Temple",1500,-22.7315501404173
"Menaci",1476.62095396875,0,2,0,0,4,0,1,"TwS - Forest Temple",1500,-23.3790460312541
"Miguelindo",1475.82768989836,6,16,0.375,13,33,0.393939393939394,5,"Koopa Armada, Twilight's Awakening, Smash n' Magic - 4th Edition, Fight in Rio for the Future, Try Hard Smash in Rio #1",1475.82768989836,0
