"p1","score1","p2","score2","completed","tournament","first_to"
"Chino",2,"Golfinho",0,1558296472,"Smash N' Magic - 2nd Edition",2
"João Lagoas",2,"Djudjo",0,1558297060,"Smash N' Magic - 2nd Edition",2
"Sky",2,"Ultimate",3,1558297837,"Smash N' Magic - 2nd Edition",3
"RevoS",0,"Luffy",3,1558298253,"Smash N' Magic - 2nd Edition",3
"Ultimate",0,"Luffy",3,1558299086,"Smash N' Magic - 2nd Edition",3
"S/Chance",2,"João Lagoas",3,1558299160,"Smash N' Magic - 2nd Edition",3
"Roboto",3,"Chino",0,1558299250,"Smash N' Magic - 2nd Edition",3
"Sky",3,"João Lagoas",1,1558300226,"Smash N' Magic - 2nd Edition",3
"RevoS",3,"Roboto",1,1558300579,"Smash N' Magic - 2nd Edition",3
"Sky",0,"RevoS",3,1558301470,"Smash N' Magic - 2nd Edition",3
"Ultimate",2,"RevoS",3,1558302908,"Smash N' Magic - 2nd Edition",3
"Luffy",3,"RevoS",0,1558303801,"Smash N' Magic - 2nd Edition",3
"Elias",2,"HeadBenzi",0,1558802667,"Smash Season Fest: Falling Leaves",2
"Luckstorm",0,"Elias",2,1558803781,"Smash Season Fest: Falling Leaves",2
"Haxwei",2,"Sully",0,1558803934,"Smash Season Fest: Falling Leaves",2
"Maleson",2,"Rates",1,1558804085,"Smash Season Fest: Falling Leaves",2
"BeBop",2,"HeadBenzi",0,1558804836,"Smash Season Fest: Falling Leaves",2
"Flamon",0,"FR7",2,1558804994,"Smash Season Fest: Falling Leaves",2
"LUGIA",2,"Morkez",1,1558805458,"Smash Season Fest: Falling Leaves",2
"Alonso",1,"Ace",2,1558805490,"Smash Season Fest: Falling Leaves",2
"RoD",0,"Arch",2,1558805931,"Smash Season Fest: Falling Leaves",2
"Prime",2,"Mick",0,1558805965,"Smash Season Fest: Falling Leaves",2
"Ultimate",2,"Ozzy",0,1558806278,"Smash Season Fest: Falling Leaves",2
"Roboto",2,"Ihmo",1,1558806534,"Smash Season Fest: Falling Leaves",2
"Luffy",2,"Bach",0,1558806789,"Smash Season Fest: Falling Leaves",2
"Morkez",0,"Mick",2,1558806948,"Smash Season Fest: Falling Leaves",2
"Sabino",2,"Muju",1,1558807391,"Smash Season Fest: Falling Leaves",2
"Amortax",2,"DSK",0,1558807688,"Smash Season Fest: Falling Leaves",2
"LUGIA",2,"Prime",0,1558807734,"Smash Season Fest: Falling Leaves",2
"RevoS",2,"Naval",1,1558807937,"Smash Season Fest: Falling Leaves",2
"Luffy",2,"Haxwei",0,1558808156,"Smash Season Fest: Falling Leaves",2
"Bach",0,"Sully",2,1558808627,"Smash Season Fest: Falling Leaves",2
"DSK",1,"Rates",2,1558808976,"Smash Season Fest: Falling Leaves",2
"RoD",1,"Mick",2,1558809266,"Smash Season Fest: Falling Leaves",2
"Amortax",2,"Maleson",1,1558809362,"Smash Season Fest: Falling Leaves",2
"Prime",0,"Roboto",2,1558809471,"Smash Season Fest: Falling Leaves",2
"Luckstorm",0,"Naval",2,1558809881,"Smash Season Fest: Falling Leaves",2
"Maleson",2,"Sully",0,1558810265,"Smash Season Fest: Falling Leaves",2
"Haxwei",2,"Rates",0,1558810284,"Smash Season Fest: Falling Leaves",2
"RevoS",2,"S/Chance",1,1558810303,"Smash Season Fest: Falling Leaves",2
"Ozzy",0,"Alonso",2,1558810766,"Smash Season Fest: Falling Leaves",2
"S/Chance",2,"BeBop",0,1558810976,"Smash Season Fest: Falling Leaves",2
"Ultimate",2,"Ace",0,1558810993,"Smash Season Fest: Falling Leaves",2
"Muju",2,"Flamon",0,1558811194,"Smash Season Fest: Falling Leaves",2
"Sabino",2,"FR7",0,1558811531,"Smash Season Fest: Falling Leaves",2
"Arch",0,"LUGIA",2,1558811738,"Smash Season Fest: Falling Leaves",2
"Roboto",1,"Haxwei",2,1558811928,"Smash Season Fest: Falling Leaves",2
"Maleson",2,"Mick",0,1558812248,"Smash Season Fest: Falling Leaves",2
"Luffy",2,"Amortax",0,1558812350,"Smash Season Fest: Falling Leaves",2
"Ace",0,"Muju",2,1558812570,"Smash Season Fest: Falling Leaves",2
"RevoS",2,"Elias",0,1558813124,"Smash Season Fest: Falling Leaves",2
"FR7",2,"Alonso",1,1558813195,"Smash Season Fest: Falling Leaves",2
"Ultimate",1,"Sabino",2,1558813212,"Smash Season Fest: Falling Leaves",2
"FR7",0,"S/Chance",2,1558813925,"Smash Season Fest: Falling Leaves",2
"Naval",2,"Muju",1,1558813961,"Smash Season Fest: Falling Leaves",2
"Elias",0,"Maleson",2,1558814060,"Smash Season Fest: Falling Leaves",2
"Ultimate",2,"Haxwei",0,1558814147,"Smash Season Fest: Falling Leaves",2
"Arch",2,"S/Chance",0,1558814656,"Smash Season Fest: Falling Leaves",2
"Amortax",2,"Naval",1,1558815185,"Smash Season Fest: Falling Leaves",2
"Ultimate",3,"Maleson",1,1558816272,"Smash Season Fest: Falling Leaves",3
"RevoS",3,"Sabino",0,1558816394,"Smash Season Fest: Falling Leaves",3
"Amortax",3,"Arch",0,1558816452,"Smash Season Fest: Falling Leaves",3
"LUGIA",0,"Luffy",3,1558816613,"Smash Season Fest: Falling Leaves",3
"LUGIA",1,"Ultimate",3,1558817661,"Smash Season Fest: Falling Leaves",3
"Sabino",3,"Amortax",1,1558817998,"Smash Season Fest: Falling Leaves",3
"RevoS",0,"Luffy",3,1558819213,"Smash Season Fest: Falling Leaves",3
"Sabino",1,"Ultimate",3,1558820308,"Smash Season Fest: Falling Leaves",3
"RevoS",2,"Ultimate",3,1558822008,"Smash Season Fest: Falling Leaves",3
"Luffy",3,"Ultimate",1,1558870613,"Smash Season Fest: Falling Leaves",3
"Magician",2,"kiNg",0,1561300590,"Twilight's Awakening",2
"Chino",2,"Gim",0,1561300622,"Twilight's Awakening",2
"RoD",2,"D4C",0,1561300665,"Twilight's Awakening",2
"Fy",2,"GUCCI",1,1561300926,"Twilight's Awakening",2
"FR7",0,"Anubis570",2,1561301653,"Twilight's Awakening",2
"ChaosPrime",0,"Arch",2,1561301909,"Twilight's Awakening",2
"Haxwei",2,"JBB",0,1561301973,"Twilight's Awakening",2
"Strig",0,"Miguelindo",2,1561302108,"Twilight's Awakening",2
"S/Chance",2,"mysterE",0,1561302493,"Twilight's Awakening",2
"FireEmblem",2,"Afro",0,1561302544,"Twilight's Awakening",2
"RevoS",2,"Ozzy",0,1561302940,"Twilight's Awakening",2
"Vyse",1,"Mimok",2,1561303200,"Twilight's Awakening",2
"Joaoarara",0,"Sosser",2,1561303406,"Twilight's Awakening",2
"ThiFesta",0,"Miguelindo",2,1561303546,"Twilight's Awakening",2
"Mick",2,"LonLon",0,1561303756,"Twilight's Awakening",2
"Maleson",2,"Anubis570",0,1561303870,"Twilight's Awakening",2
"Amortax",2,"Considera",0,1561304094,"Twilight's Awakening",2
"Luffy",2,"Fy",0,1561304231,"Twilight's Awakening",2
"LUGIA",2,"RoD",0,1561304463,"Twilight's Awakening",2
"Sky",2,"Magician",0,1561304719,"Twilight's Awakening",2
"Ultimate",2,"Chino",1,1561305169,"Twilight's Awakening",2
"mysterE",2,"D4C",0,1561308954,"Twilight's Awakening",2
"ChaosPrime",2,"GUCCI",0,1561309088,"Twilight's Awakening",2
"LonLon",0,"Gim",2,1561309201,"Twilight's Awakening",2
"Vyse",2,"Anubis570",0,1561309485,"Twilight's Awakening",2
"Ultimate",2,"Sosser",1,1561309774,"Twilight's Awakening",2
"kiNg",0,"RoD",2,1561309822,"Twilight's Awakening",2
"ChaosPrime",2,"Considera",1,1561310156,"Twilight's Awakening",2
"Joaoarara",2,"Strig",0,1561310269,"Twilight's Awakening",2
"mysterE",2,"Magician",0,1561310448,"Twilight's Awakening",2
"JBB",2,"Fy",1,1561310469,"Twilight's Awakening",2
"Sky",2,"S/Chance",0,1561310515,"Twilight's Awakening",2
"Amortax",2,"Arch",0,1561311173,"Twilight's Awakening",2
"LUGIA",2,"Ihmo",0,1561311202,"Twilight's Awakening",2
"Gim",2,"ThiFesta",0,1561311250,"Twilight's Awakening",2
"Luffy",2,"Haxwei",1,1561311449,"Twilight's Awakening",2
"Maleson",0,"Mimok",2,1561311532,"Twilight's Awakening",2
"Miguelindo",0,"Mick",2,1561312390,"Twilight's Awakening",2
"Afro",2,"FR7",0,1561312514,"Twilight's Awakening",2
"S/Chance",2,"RoD",0,1561312540,"Twilight's Awakening",2
"Joaoarara",1,"Chino",2,1561312667,"Twilight's Awakening",2
"RevoS",2,"FireEmblem",0,1561312838,"Twilight's Awakening",2
"Ihmo",1,"mysterE",2,1561312882,"Twilight's Awakening",2
"Arch",0,"JBB",2,1561313163,"Twilight's Awakening",2
"Haxwei",2,"ChaosPrime",0,1561313185,"Twilight's Awakening",2
"Sosser",2,"Gim",0,1561313244,"Twilight's Awakening",2
"Afro",2,"Ozzy",1,1561313941,"Twilight's Awakening",2
"Miguelindo",0,"Chino",2,1561314005,"Twilight's Awakening",2
"FireEmblem",1,"Vyse",2,1561314124,"Twilight's Awakening",2
"Maleson",1,"Afro",2,1561314570,"Twilight's Awakening",2
"Sky",0,"LUGIA",2,1561315464,"Twilight's Awakening",2
"JBB",0,"Sosser",2,1561315481,"Twilight's Awakening",2
"Chino",0,"Haxwei",2,1561315558,"Twilight's Awakening",2
"RevoS",2,"Mimok",0,1561315766,"Twilight's Awakening",2
"mysterE",2,"Vyse",1,1561315906,"Twilight's Awakening",2
"Afro",2,"S/Chance",1,1561316232,"Twilight's Awakening",2
"Ultimate",2,"Mick",0,1561316516,"Twilight's Awakening",2
"Sky",2,"Haxwei",0,1561316552,"Twilight's Awakening",2
"Mimok",0,"Sosser",2,1561316706,"Twilight's Awakening",2
"Luffy",2,"Amortax",1,1561316766,"Twilight's Awakening",2
"Mick",0,"mysterE",2,1561317539,"Twilight's Awakening",2
"Sosser",3,"Sky",0,1561317633,"Twilight's Awakening",3
"Amortax",2,"Afro",0,1561317867,"Twilight's Awakening",2
"LUGIA",3,"RevoS",2,1561318302,"Twilight's Awakening",3
"Luffy",3,"Ultimate",1,1561319544,"Twilight's Awakening",3
"mysterE",2,"Amortax",3,1561319662,"Twilight's Awakening",3
"Ultimate",0,"Sosser",3,1561321097,"Twilight's Awakening",3
"RevoS",3,"Amortax",0,1561323862,"Twilight's Awakening",3
"Luffy",3,"LUGIA",1,1561324605,"Twilight's Awakening",3
"Sosser",1,"RevoS",3,1561325636,"Twilight's Awakening",3
"LUGIA",1,"RevoS",3,1561326857,"Twilight's Awakening",3
"Luffy",3,"RevoS",0,1561328457,"Twilight's Awakening",3
"Chaud",2,"Nenfz",0,1563027385,"Fight in Rio for the Future",2
"Ultimate",2,"Ozzy",0,1563027436,"Fight in Rio for the Future",2
"mysterE",2,"23",0,1563027746,"Fight in Rio for the Future",2
"Afro",0,"Joaoarara",2,1563027781,"Fight in Rio for the Future",2
"Ace",1,"Chino",2,1563027801,"Fight in Rio for the Future",2
"Maleson",2,"BeBop",1,1563027833,"Fight in Rio for the Future",2
"Amortax",2,"Considera",0,1563028009,"Fight in Rio for the Future",2
"Sully",2,"diguetake",1,1563028230,"Fight in Rio for the Future",2
"Jayache",2,"Ferrantini",0,1563028577,"Fight in Rio for the Future",2
"Strig",1,"Anubis570",2,1563028618,"Fight in Rio for the Future",2
"S/Chance",2,"Swiss",0,1563028901,"Fight in Rio for the Future",2
"Nyer",1,"Proliel",2,1563029032,"Fight in Rio for the Future",2
"Janjão",2,"Gim",0,1563029127,"Fight in Rio for the Future",2
"Mick",2,"Leow",0,1563029152,"Fight in Rio for the Future",2
"Guizo",0,"RitsuoFox",2,1563029204,"Fight in Rio for the Future",2
"Sabino",2,"FR7",0,1563029401,"Fight in Rio for the Future",2
"Jaycee",2,"Lucky Luciano",0,1563029827,"Fight in Rio for the Future",2
"Naty",2,"Miguelindo",0,1563029897,"Fight in Rio for the Future",2
"Sky",2,"Lucas Portes",0,1563029930,"Fight in Rio for the Future",2
"Roboto",2,"Rhunii",0,1563030001,"Fight in Rio for the Future",2
