"p1","p2","sets","set_wins_p1","set_wins_p2","game_wins_p1","game_wins_p2","tournaments"
"Ace","Djudjo",1,0,1,1,2,"Smash N' Magic - 2nd Edition"
"Ace","FR7",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"Ace","Haxwei",1,0,1,0,3,"TORNEIO LEGAL"
"Ace","HeadBenzi",1,0,1,0,2,"Smash Heat 2"
"Ace","Joaoarara",1,0,1,1,2,"Set Fire 3"
"Ace","jTurolla",1,1,0,3,0,"TORNEIO LEGAL"
"Ace","Lance",1,1,0,2,1,"Smash Heat 2"
"Ace","Luckstorm",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Ace","Luffy",1,0,1,0,2,"Smash N' Magic"
"Ace","Magician",1,1,0,2,0,"Smash N' Magic"
"Ace","Maleson",1,1,0,2,0,"Set Fire 3"
"Ace","Maycky",1,0,1,1,2,"Smash N' Magic - 2nd Edition"
"Ace","Mimok",1,0,1,1,2,"Smash Heat 2"
"Ace","Muju",1,0,1,0,2,"Smash Season Fest: Falling Leaves"
"Ace","Naval",1,0,1,0,3,"TORNEIO LEGAL"
"Ace","Nenfz",1,1,0,2,0,"Fight in Rio for the Future"
"Ace","P.Vicious",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"Ace","Polon",1,1,0,2,0,"Smash N' Magic - 2nd Edition"
"Ace","Rates",1,1,0,2,0,"TwS - Fire Temple"
"Ace","Ren",1,1,0,2,0,"Battle Of Hyrule"
"Ace","RndNess",1,1,0,2,0,"Smash N' Magic"
"Ace","S/Chance",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"Ace","Shivan",1,1,0,2,0,"TwS - Fire Temple"
"Ace","Snek",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"Ace","Strig",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Ace","ThiFesta",1,0,1,1,2,"Smash Season Fest: Smash Heat"
"Ace","Ultimate",1,0,1,0,2,"Smash Season Fest: Falling Leaves"
"Ace","Windfall",1,1,0,2,0,"Set Fire 3"
"Afro","Anhanha",1,0,1,0,2,"Try Hard Smash in Rio #2"
"Afro","Arch",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"Afro","Bayo",1,1,0,2,0,"Fight in Rio for the Future"
"Afro","Blaze",1,1,0,2,0,"Koopa Armada"
"Afro","ChaosPrime",1,1,0,2,0,"Smash N' Magic"
"Afro","Chino",1,0,1,1,2,"Smash N' Magic - 2nd Edition"
"Afro","Considera",1,1,0,2,0,"Battle Of Hyrule"
"Afro","Cyber Twilight",1,0,1,1,2,"Koopa Armada"
"Afro","d0pe",1,1,0,3,2,"TORNEIO LEGAL"
"Afro","Djudjo",1,0,1,1,2,"Smash N' Magic - 2nd Edition"
"Afro","GabFon",1,1,0,2,0,"Beer Reversal #12 - Primeiro de 2020!"
"Afro","Gim",1,1,0,2,0,"Battle Of Hyrule"
"Afro","GUCCI",1,1,0,2,1,"Smash N' Magic - 3rd Edition"
"Afro","HeadBenzi",1,1,0,2,1,"Smash Season Fest: Smash Heat"
"Afro","Ihmo",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Afro","IzZI127",1,1,0,2,0,"Koopa Armada"
"Afro","Jab Air",1,1,0,3,2,"Koopa Armada"
"Afro","Joaoarara",1,0,1,0,2,"Fight in Rio for the Future"
"Afro","LeoDT",1,0,1,0,2,"Smash Heat 2"
"Afro","Lorenzo",1,1,0,2,0,"Koopa Armada"
"Afro","Maleson",1,1,0,2,1,"Twilight's Awakening"
"Afro","Mathe100",1,1,0,2,0,"Try Hard Smash in Rio #2"
"Afro","Mimok",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Afro","Morkez",1,1,0,2,1,"Smash N' Magic - 3rd Edition"
"Afro","Mr. Z",1,1,0,2,0,"Koopa Armada"
"Afro","mysterE",1,0,1,1,2,"Smash N' Magic - 3rd Edition"
"Afro","Prime",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"Afro","Proliel",1,1,0,3,0,"TORNEIO LEGAL"
"Afro","Rhunii",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Afro","Roboto",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"Afro","Roc~",1,0,1,2,3,"Smash Season Fest: Smash Heat"
"Afro","RoD",1,1,0,2,0,"Try Hard Smash in Rio #2"
"Afro","Sabino",1,0,1,1,2,"Battle Of Hyrule"
"Afro","Simic",1,1,0,2,1,"Smash N' Magic - 2nd Edition"
"Afro","Talberon",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"Afro","Tuca",1,0,1,0,2,"Fight in Rio for the Future"
"Afro","Ultimate",1,0,1,0,2,"Try Hard Smash in Rio #2"
"Afro","Vyse",1,1,0,2,0,"Koopa Armada"
"Afro","Wright",1,1,0,2,0,"Beer Reversal #12 - Primeiro de 2020!"
"Aisengobay","BrianGun",1,0,1,0,2,"Koopa Armada"
"Alonso","Amortax",1,0,1,0,2,"Smash Heat 2"
"Alonso","Conker",1,1,0,2,0,"Smash N' Magic - 2nd Edition"
"Alonso","Dypherius",1,1,0,2,0,"Battle Of Hyrule"
"Alonso","FireEmblem",1,0,1,1,2,"Smash N' Magic - 3rd Edition"
"Alonso","Floko",1,0,1,0,2,"Smash N' Magic"
"Alonso","FR7",1,0,1,1,2,"Smash Season Fest: Falling Leaves"
"Alonso","FritzThe2",1,1,0,2,0,"Smash N' Magic"
"Alonso","Fy",1,1,0,2,0,"Battle Of Hyrule"
"Alonso","Joaoarara",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Alonso","Maleson",1,0,1,0,2,"Battle Of Hyrule"
"Alonso","Ozzy",1,1,0,2,0,"Smash Season Fest: Falling Leaves"
"Alonso","Pete",1,1,0,2,0,"Smash Heat 2"
"Alonso","Roc~",1,0,1,0,2,"Smash Heat 2"
"Alonso","S/Chance",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Alonso","Simic",1,1,0,2,0,"Smash Heat 2"
"Alonso","Sully",1,1,0,2,0,"Battle Of Hyrule"
"Alunir","LukeThomaz",1,1,0,2,0,"Fight in Rio for the Future"
"Alunir","Roboto",1,0,1,0,2,"Fight in Rio for the Future"
"Amortax","Anhanha",1,1,0,3,1,"Try Hard Smash in Rio #2"
"Amortax","Anubis570",1,1,0,2,0,"Battle Of Hyrule"
"Amortax","Bent",1,0,1,0,2,"Smash Heat 2"
"Amortax","DSK",1,1,0,2,0,"Smash Season Fest: Falling Leaves"
"Amortax","Fakinha",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"Amortax","Floko",1,1,0,2,0,"Try Hard Smash in Rio #1"
"Amortax","FR7",1,1,0,2,0,"Try Hard Smash in Rio #1"
"Amortax","Fy",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"Amortax","Gim",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Amortax","Joaoarara",1,0,1,1,2,"Battle Of Hyrule"
"Amortax","Luckstorm",1,1,0,2,0,"Try Hard Smash in Rio #1"
"Amortax","LUGIA",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Amortax","Magonha",1,1,0,2,0,"TwS - Forest Temple"
"Amortax","Maleson",1,1,0,2,1,"Smash Season Fest: Falling Leaves"
"Amortax","Mathe100",1,1,0,2,0,"Try Hard Smash in Rio #5"
"Amortax","Morkez",1,1,0,2,0,"Try Hard Smash in Rio #5"
"Amortax","mysterE",1,1,0,3,2,"Twilight's Awakening"
"Amortax","Naval",1,1,0,2,1,"Smash Season Fest: Falling Leaves"
"Amortax","Ozzy",1,1,0,2,0,"TwS - Forest Temple"
"Amortax","RitsuoFox",1,1,0,2,1,"Try Hard Smash in Rio #1"
"Amortax","S/Chance",1,1,0,2,1,"Smash Season Fest: Smash Heat"
"Amortax","Sky",1,0,1,0,2,"Fight in Rio for the Future"
"Amortax","Sosser",1,1,0,2,1,"TwS - Forest Temple"
"Amortax","Wright",1,1,0,2,0,"TwS - Forest Temple"
"Anal_utz","Ozzy",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Anal_utz","Simic",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Anhanha","Burtão",1,1,0,2,0,"Try Hard Smash in Rio #2"
"Anhanha","Haxwei",1,0,1,1,2,"Try Hard Smash in Rio #2"
"Anhanha","Mimok",1,1,0,2,1,"Try Hard Smash in Rio #2"
"Anhanha","Thay",1,1,0,2,0,"Try Hard Smash in Rio #2"
"Antonio Marcos","Dr. Lemos",1,0,1,0,2,"Try Hard Smash in Rio #4"
"Antonio Marcos","Fy",1,0,1,0,2,"Try Hard Smash in Rio #4"
"Anubis570","FireEmblem",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Anubis570","FR7",1,1,0,2,0,"Twilight's Awakening"
"Anubis570","Fy",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Anubis570","LA FLAMME",1,1,0,2,0,"Battle Of Hyrule"
"Anubis570","Luffy",1,0,1,0,2,"TwS - Forest Temple"
"Anubis570","Maleson",1,0,1,0,2,"Twilight's Awakening"
"Anubis570","Nenfz",1,0,1,1,2,"Fight in Rio for the Future"
"Anubis570","Sabino",1,0,1,0,2,"Fight in Rio for the Future"
"Anubis570","Strig",1,1,0,2,1,"Fight in Rio for the Future"
"Anubis570","Sully",1,0,1,1,2,"Try Hard Smash in Rio #5"
"Arch","Bent",1,0,1,0,2,"Smash Heat 2"
"Arch","BURRITO",1,1,0,2,0,"TwS - Forest Temple"
"Arch","DJ",1,0,1,1,2,"Smash N' Magic"
"Arch","DSK",1,1,0,2,0,"TwS - Fire Temple"
"Arch","Flamon",1,1,0,2,1,"Smash Season Fest: Smash Heat"
"Arch","Floko",1,0,1,0,2,"Battle Of Hyrule"
"Arch","HeadBenzi",1,0,1,0,2,"Smash Heat 2"
"Arch","Jao",1,1,0,2,1,"Smash Season Fest: Smash Heat"
"Arch","Jayache",1,1,0,2,0,"Try Hard Smash in Rio #1"
"Arch","JBB",1,0,1,0,2,"Twilight's Awakening"
"Arch","Joaoarara",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Arch","LeoDT",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"Arch","Maleson",1,0,1,0,2,"Battle Of Hyrule"
"Arch","Mick",1,1,0,2,0,"Battle Of Hyrule"
"Arch","Morkez",1,1,0,2,1,"Battle Of Hyrule"
"Arch","Prime",1,0,1,1,2,"Smash Season Fest: Smash Heat"
"Arch","Proliel",1,1,0,2,0,"Set Fire 3"
"Arch","Ren",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Arch","Rhunii",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Arch","RitsuoFox",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Arch","RndNess",1,1,0,2,1,"Smash N' Magic"
"Arch","RoD",1,1,0,2,0,"Smash Season Fest: Falling Leaves"
"Arch","S/Chance",1,1,0,2,0,"Smash Season Fest: Falling Leaves"
"Arch","Sosser",1,0,1,0,2,"TwS - Forest Temple"
"Artch","Dethnerv",1,0,1,1,2,"Koopa Armada"
"Artch","Prolo",1,0,1,0,2,"Koopa Armada"
"Arthunis","GUCCI",1,0,1,0,2,"Try Hard Smash in Rio #5"
"Arthunis","Haxwei",1,0,1,0,2,"Try Hard Smash in Rio #5"
"Arthunis","Pedro Alvite",1,1,0,2,0,"Try Hard Smash in Rio #5"
"Arthunnis","Jao",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Arthunnis","Shinomori",1,0,1,1,2,"Smash n' Magic - 4th Edition"
"Atilio","Lucas",1,1,0,2,1,"Try Hard Smash in Rio #3"
"Atilio","Renata",1,1,0,2,1,"Try Hard Smash in Rio #3"
"Atilio","RevoS",1,0,1,0,2,"Try Hard Smash in Rio #3"
"Atilio","Wright",1,0,1,0,2,"Try Hard Smash in Rio #3"
"Axe","Gim",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Axe","Naty",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Bach","Burtão",1,0,1,0,2,"Smash Season Fest: Smash Heat"
"Bach","Ihmo",1,0,1,1,2,"Smash N' Magic"
"Bach","Luffy",1,0,1,0,2,"Smash Season Fest: Falling Leaves"
"Bach","Maleson",1,0,1,0,2,"Smash N' Magic"
"Bach","Morkez",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Bach","Oops",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Bach","Pete",1,1,0,2,1,"Smash N' Magic"
"Bach","RoD",1,0,1,0,2,"Smash Season Fest: Smash Heat"
"Bach","Sully",1,0,1,0,2,"Smash Season Fest: Falling Leaves"
"Bayo","Considera",1,0,1,0,2,"TwS - Fire Temple"
"Bayo","Fy",1,0,1,0,2,"Beer Reversal #12 - Primeiro de 2020!"
"Bayo","Joaoarara",1,0,1,0,2,"Beer Reversal #12 - Primeiro de 2020!"
"Bayo","Rates",1,0,1,0,2,"TwS - Fire Temple"
"Bayo","Snek",1,0,1,0,2,"Fight in Rio for the Future"
"Bbrazils","Conker",1,0,1,1,2,"Smash N' Magic - 2nd Edition"
"Bbrazils","Ramon",1,0,1,1,2,"Smash N' Magic"
"Bbrazils","S/Chance",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Bbrazils","Snek",1,1,0,2,1,"Smash N' Magic"
"Bbrazils","Vallcrist",1,0,1,1,2,"Smash N' Magic"
"BeBop","Bent",1,0,1,0,2,"Smash Season Fest: Smash Heat"
"BeBop","ChaosPrime",1,1,0,2,0,"Battle Of Hyrule"
"BeBop","Chino",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"BeBop","Cyber Twilight",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"BeBop","Daftmind",1,1,0,2,0,"Koopa Armada"
"BeBop","Elias",1,1,0,2,0,"Koopa Armada"
"BeBop","FireEmblem",1,0,1,0,3,"Set Fire 3"
"BeBop","FR7",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"BeBop","Gim",1,1,0,2,0,"Smash Heat 2"
"BeBop","Haxwei",1,1,0,3,2,"Set Fire 3"
"BeBop","HeadBenzi",1,1,0,2,0,"Smash Season Fest: Falling Leaves"
"BeBop","Ihmo",1,0,1,1,2,"Smash N' Magic"
"BeBop","Joaoarara",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"BeBop","Jojorama",1,1,0,2,0,"Set Fire 3"
"BeBop","Korn",1,1,0,2,0,"Koopa Armada"
"BeBop","Luffy",1,0,1,1,2,"Set Fire 3"
"BeBop","Magician",1,1,0,2,0,"Battle Of Hyrule"
"BeBop","Mimok",1,1,0,3,0,"Smash Heat 2"
"BeBop","Najjar",1,1,0,2,0,"Battle Of Hyrule"
"BeBop","Nyer",1,1,0,2,1,"Fight in Rio for the Future"
"BeBop","Ozzy",1,1,0,2,1,"Smash n' Magic - 5th Edition"
"BeBop","Pete",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"BeBop","Polon",1,1,0,2,0,"Smash N' Magic"
"BeBop","Proliel",1,0,1,0,2,"Fight in Rio for the Future"
"BeBop","Rates",1,1,0,2,0,"Smash Heat 2"
"BeBop","RitsuoFox",1,0,1,1,2,"Smash n' Magic - 4th Edition"
"BeBop","RndNess",1,1,0,2,1,"Smash Season Fest: Smash Heat"
"BeBop","Roboto",1,0,1,1,3,"Smash Heat 2"
"BeBop","Roc~",1,1,0,2,0,"Battle Of Hyrule"
"Bent","Ditro",1,1,0,2,1,"Smash Season Fest: Smash Heat"
"Bent","LUGIA",1,1,0,2,1,"Smash Heat 2"
"Bent","Prime",1,0,1,0,2,"Smash Season Fest: Smash Heat"
"Bent","S/Chance",1,1,0,2,1,"Smash Season Fest: Smash Heat"
"Bent","Ultimate",1,0,1,1,2,"Smash Season Fest: Smash Heat"
"BernieMan","DSK",1,0,1,0,2,"TwS - Fire Temple"
"BernieMan","Dypherius",1,0,1,0,2,"TwS - Fire Temple"
"Blaze","Thales",1,0,1,1,2,"Koopa Armada"
"Botrek","Conker",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"Botrek","Proliel",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Botrek","Roboto",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"BrianGun","Cyber Twilight",1,0,1,1,2,"Koopa Armada"
"BrianGun","Mick",1,1,0,2,0,"Koopa Armada"
"BrianGun","Moonflair",1,1,0,2,1,"Koopa Armada"
"BrianGun","Roc~",1,0,1,0,2,"Koopa Armada"
"BrunoLana","Jayache",1,1,0,2,0,"Koopa Armada"
"BrunoLana","MiniGoku",1,0,1,1,2,"Koopa Armada"
"BURRITO","FR7",1,0,1,0,2,"TwS - Forest Temple"
"Burtão","Dypherius",1,1,0,2,0,"Try Hard Smash in Rio #2"
"Burtão","Frostfire",1,1,0,2,1,"Koopa Armada"
"Burtão","Gim",1,1,0,2,0,"Koopa Armada"
"Burtão","GodUsopp",1,1,0,2,0,"Koopa Armada"
"Burtão","Haxwei",1,0,1,1,2,"Try Hard Smash in Rio #5"
"Burtão","Jojorama",1,1,0,2,0,"Smash Heat 2"
"Burtão","LeoDT",1,0,1,0,2,"Smash Heat 2"
"Burtão","Pete",1,1,0,2,0,"Smash Season Fest: Smash Heat"
"Burtão","Roc~",1,0,1,1,2,"Smash Season Fest: Smash Heat"
"Burtão","Sabino",1,0,1,0,2,"Smash Heat 2"
"Burtão","Stormkid",1,1,0,2,0,"Try Hard Smash in Rio #5"
"Burtão","ThiFesta",1,1,0,2,0,"Koopa Armada"
"Burtão","Ultimate",1,0,1,0,2,"Try Hard Smash in Rio #5"
"Calvao","Luij",1,0,1,0,2,"Koopa Armada"
"Calvao","Prolo",1,0,1,0,2,"Koopa Armada"
"Caveira","Golfinho",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Caveira","Saiduke",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"CebolaTostada","Mick",1,0,1,0,2,"TwS - Forest Temple"
"CebolaTostada","Ozzy",1,0,1,1,2,"TwS - Forest Temple"
"Celly","IzZI127",1,0,1,0,2,"Koopa Armada"
"Celly","Mick",1,0,1,0,2,"Koopa Armada"
"Chadin","ChaosPrime",1,0,1,0,2,"Battle Of Hyrule"
"Chadin","DSK",1,0,1,1,2,"Battle Of Hyrule"
"Chadin","LCS",1,1,0,2,1,"Battle Of Hyrule"
"Chadin","LonLon",1,1,0,2,0,"Battle Of Hyrule"
"ChaosPrime","DSK",1,1,0,2,0,"Battle Of Hyrule"
"ChaosPrime","Elias",1,1,0,2,1,"Smash N' Magic - 2nd Edition"
"ChaosPrime","FireEmblem",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"ChaosPrime","FR7",1,1,0,2,1,"Smash N' Magic"
"ChaosPrime","Fy",1,0,1,1,2,"Smash n' Magic - 4th Edition"
"ChaosPrime","GUCCI",1,1,0,2,0,"Twilight's Awakening"
"ChaosPrime","Jayache",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"ChaosPrime","Joaoarara",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"ChaosPrime","LCS",1,1,0,2,0,"TwS - Fire Temple"
"ChaosPrime","Lou",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"ChaosPrime","LUGIA",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"ChaosPrime","Maleson",1,1,0,2,0,"Smash N' Magic"
"ChaosPrime","mega",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"ChaosPrime","Mick",1,1,0,2,0,"TwS - Fire Temple"
"ChaosPrime","Mimok",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"ChaosPrime","Minus",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"ChaosPrime","Pete",1,0,1,1,2,"Smash Heat 2"
"ChaosPrime","Roboto",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"ChaosPrime","RoD",1,1,0,2,1,"Smash Heat 2"
"ChaosPrime","Ryvius",1,1,0,2,0,"Smash N' Magic"
"ChaosPrime","S/Chance",1,0,1,1,2,"Battle Of Hyrule"
"ChaosPrime","Saiduke",1,1,0,2,1,"Smash N' Magic - 2nd Edition"
"ChaosPrime","Sully",1,1,0,2,0,"Smash N' Magic - 2nd Edition"
"chapeudopresto","D4C",1,1,0,2,0,"Koopa Armada"
"chapeudopresto","FullMoon",1,0,1,0,2,"Koopa Armada"
"chapeudopresto","Linus",1,1,0,2,0,"Koopa Armada"
"chapeudopresto","Roboto",1,0,1,0,2,"Koopa Armada"
"Chaud","Jayache",1,1,0,2,0,"Fight in Rio for the Future"
"Chaud","Nenfz",1,1,0,2,0,"Fight in Rio for the Future"
"Chaud","Player 7",1,0,1,0,2,"Fight in Rio for the Future"
"Chaud","Roboto",1,0,1,0,2,"Fight in Rio for the Future"
"Chaud","Sabino",1,1,0,2,0,"Fight in Rio for the Future"
"Chino","DJ",1,1,0,2,1,"Try Hard Smash in Rio #2"
"Chino","Gim",1,1,0,2,0,"Twilight's Awakening"
"Chino","Golfinho",1,1,0,2,0,"Smash N' Magic - 2nd Edition"
"Chino","joao miguel",1,1,0,2,0,"Try Hard Smash in Rio #5"
"Chino","Joaoarara",1,1,0,2,1,"Twilight's Awakening"
"Chino","Luckstorm",1,1,0,2,0,"Battle Of Hyrule"
"Chino","Luffy",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Chino","Miguelindo",1,1,0,2,0,"Twilight's Awakening"
"Chino","Mimok",1,1,0,2,0,"Try Hard Smash in Rio #5"
"Chino","Ozzy",1,1,0,2,1,"Try Hard Smash in Rio #5"
"Chino","Player 7",1,0,1,0,2,"Fight in Rio for the Future"
"Chino","RevoS",1,0,1,1,2,"Try Hard Smash in Rio #2"
"Chino","Roboto",1,0,1,0,3,"Smash N' Magic - 2nd Edition"
"Chino","Roc~",1,0,1,0,2,"Battle Of Hyrule"
"Chino","Sky",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Chino","Steel",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Conker","mega",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Conker","Miguelindo",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Conker","Ren",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Conker","Roboto",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Conker","Strig",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Conker","Vyse",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Considera","Leow",1,1,0,2,0,"Battle Of Hyrule"
"Considera","Magonha",1,1,0,2,0,"TwS - Forest Temple"
"Considera","Maleson",1,0,1,0,2,"Smash N' Magic"
"Considera","Mick",1,1,0,2,0,"TwS - Forest Temple"
"Considera","Naval",1,0,1,1,2,"TwS - Fire Temple"
"Considera","Polon",1,0,1,1,2,"Smash N' Magic"
"Considera","Raphael Vieitas",1,1,0,2,0,"Smash N' Magic"
"Considera","Rates",1,1,0,2,0,"TwS - Forest Temple"
"Considera","Sabino",1,0,1,0,2,"TwS - Forest Temple"
"Coringa","ThiFesta",1,0,1,0,2,"Try Hard Smash in Rio #3"
"Coringa","Tiago Pazos",1,0,1,1,2,"Try Hard Smash in Rio #3"
"Crisiru07","FR7",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Crisiru07","Fy",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Crisiru07","Guizo",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Crisiru07","Sully",1,0,1,1,2,"Smash n' Magic - 4th Edition"
"Cyber Twilight","DJ",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Cyber Twilight","FireEmblem",1,0,1,1,3,"Try Hard Smash in Rio #4"
"Cyber Twilight","Fy",1,1,0,2,1,"Try Hard Smash in Rio #4"
"Cyber Twilight","Guizo",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Cyber Twilight","Ihmo",1,0,1,1,2,"Try Hard Smash in Rio #4"
"Cyber Twilight","LeoDT",1,1,0,2,0,"Smash N' Magic"
"Cyber Twilight","Luffy",1,0,1,0,3,"Koopa Armada"
"Cyber Twilight","Maleson",1,0,1,0,3,"Koopa Armada"
"Cyber Twilight","minecraft",1,1,0,2,0,"Try Hard Smash in Rio #4"
"Cyber Twilight","Naval",1,1,0,2,0,"Smash N' Magic"
"Cyber Twilight","Ozzy",1,1,0,2,0,"Try Hard Smash in Rio #4"
"Cyber Twilight","Ren",1,1,0,2,0,"Smash n' Magic - 4th Edition"
"Cyber Twilight","RevoS",1,0,1,0,3,"Smash N' Magic"
"Cyber Twilight","RitsuoFox",1,0,1,1,2,"Smash n' Magic - 4th Edition"
"Cyber Twilight","Roboto",1,1,0,3,2,"Koopa Armada"
"Cyber Twilight","Sabino",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"Cyber Twilight","Sky",1,0,1,1,2,"Smash N' Magic"
"Cyber Twilight","ThiFesta",1,1,0,3,0,"Try Hard Smash in Rio #4"
"Cyber Twilight","Vyse",1,1,0,2,0,"Koopa Armada"
"d0pe","FireEmblem",1,0,1,0,3,"TORNEIO LEGAL"
"d0pe","Pete",1,1,0,3,1,"TORNEIO LEGAL"
"D4C","Gim",1,0,1,0,2,"Set Fire 3"
"D4C","Guizo",1,0,1,0,2,"Koopa Armada"
"D4C","mysterE",1,0,1,0,2,"Twilight's Awakening"
"D4C","RoD",1,0,1,0,2,"Twilight's Awakening"
"D4C","S/Chance",1,0,1,0,2,"Set Fire 3"
"Daftmind","Owlogy",1,1,0,2,0,"Koopa Armada"
"Daftmind","RoD",1,0,1,0,2,"Koopa Armada"
"Daftmind","Zombie Hunter",1,1,0,2,0,"Koopa Armada"
"Danny","Monad0",1,0,1,0,2,"Koopa Armada"
"Dark Fox","Miguelindo",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Dark Fox","Shivan",1,1,0,2,1,"Smash n' Magic - 4th Edition"
"Dark Fox","Vyse",1,0,1,0,2,"Smash n' Magic - 4th Edition"
"Dcay","Naty",1,0,1,0,2,"Smash Season Fest: Smash Heat"
"Decnop","Naty",1,0,1,0,2,"Smash N' Magic"
"Decnop","Sandman",1,0,1,1,2,"Smash N' Magic"
"Dethnerv","Jab Air",1,0,1,0,2,"Koopa Armada"
"Dethnerv","Luij",1,1,0,2,0,"Koopa Armada"
"Dethnerv","Sonic Orochi",1,0,1,0,2,"Koopa Armada"
"diguetake","Elias",1,0,1,0,2,"Fight in Rio for the Future"
"diguetake","Sully",1,0,1,1,2,"Fight in Rio for the Future"
"DJ","Elias",1,0,1,0,2,"Try Hard Smash in Rio #4"
"DJ","FR7",1,1,0,2,1,"Smash N' Magic"
"DJ","Joaoarara",1,0,1,0,3,"Smash N' Magic - 3rd Edition"
"DJ","Kira",1,1,0,2,0,"Smash N' Magic"
"DJ","Luckstorm",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"DJ","Luffy",1,0,1,0,2,"Smash N' Magic"
"DJ","Mimok",1,0,1,0,2,"Smash N' Magic - 3rd Edition"
"DJ","RevoS",1,0,1,0,2,"Smash N' Magic"
"DJ","Sabino",1,1,0,2,0,"Smash N' Magic - 3rd Edition"
"DJ","Sully",1,1,0,2,0,"Try Hard Smash in Rio #4"
"DJ","ThiFesta",1,1,0,2,0,"Try Hard Smash in Rio #2"
"DJ","Vyse",1,1,0,2,1,"Try Hard Smash in Rio #4"
"Djudjo","FireEmblem",1,0,1,0,2,"Smash n' Magic - 5th Edition"
"Djudjo","Fy",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"Djudjo","João Lagoas",1,0,1,0,2,"Smash N' Magic - 2nd Edition"
"Djudjo","Joaoarara",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"Djudjo","Maleson",1,1,0,2,0,"Smash n' Magic - 5th Edition"
"Djudjo","Sabino",1,0,1,0,2,"Smash n' Magic - 5th Edition"
